Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Cluster_1018,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales;Zygorhizidiaceae;Zygorhizidium;Zygorhizidium_sp.;,79.86,Low confidence / possible divergent,391,0.25,9
Cluster_354,Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Glomeromycotina;Glomerales;Glomus;Glomus_sp.;,73.98,Low confidence / possible divergent,390,0.25,28
Cluster_839,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium_sp.;,72.32,Low confidence / possible divergent,387,0.25,34
Cluster_674,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Adeleida;Hepatozoidae;Hepatozoon;Hepatozoon_sp.;,76.42,Low confidence / possible divergent,361,0.23,27
Cluster_349,Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia;Vannellida;Vannellida_X;Vannellida_XX;Vannellida_XX_sp.;,55.63,Candidate novel taxon,353,0.22,52
Cluster_918,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Eimeriidae;Eimeria;Eimeria_sp.;,70.83,Low confidence / possible divergent,343,0.22,13
Cluster_939,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,79.6,Low confidence / possible divergent,335,0.21,18
Cluster_998,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,80.58,Confident match,333,0.21,20
Cluster_695,Eukaryota;TSAR;Rhizaria;Foraminifera;Globothalamea;Rotaliida;Globorotaliidae;Neogloboquadrina;Neogloboquadrina_pachyderma;,76.43,Low confidence / possible divergent,329,0.21,29
Cluster_749,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Apostomatia_X;Apostomatia_XX;Apostomatia_XX_sp.;,75.73,Low confidence / possible divergent,327,0.21,18
Cluster_163,Eukaryota:mito;Obazoa:mito;Opisthokonta:mito;Fungi:mito;Ascomycota:mito;Pezizomycotina:mito;Lecanoromycetes:mito;Cryptodiscus:mito;Cryptodiscus_pini:mito;,49.53,Candidate novel taxon,326,0.21,70
Cluster_325,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Operculariidae;OLIGO1;OLIGO1_sp.;,69.85,Low confidence / possible divergent,322,0.2,34
Cluster_976,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,83.55,Confident match,320,0.2,18
Cluster_1019,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Zygorhizidiales;Zygorhizidiaceae;Zygorhizidium;Zygorhizidium_sp.;,81.15,Confident match,320,0.2,7
Cluster_771,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,79.56,Low confidence / possible divergent,318,0.2,17
Cluster_763,Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Glomeromycotina;Glomerales;Glomus;Glomus_sp.;,81.11,Confident match,315,0.2,32
Cluster_445,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2;Scuticociliatia_2_X;Cyclidium_3;Cyclidium_glaucoma;,65.5,Low confidence / possible divergent,310,0.2,11
